Name,Pre-Req,Tier,Power
Further Backgrounding,General,Adventurer,"A: Add 2 total points to your backgrounds, or 2 new points of backgrounds."
Further Backgrounding,General,Champion,"C: Add 3 total points to your backgrounds, or 3 new points of backgrounds."
Further Backgrounding,General,Epic,"E: Add 2 total points to your backgrounds, or 2 new points of backgrounds. You can raise one background to 7."
Imp. Initiative,General,Adventurer,A: +4 to initiative checks.
Linguist,General,Adventurer,A: Speak all normal humanoid languages well enough.
Linguist,General,Champion,"C: Speak, read, and write normal languages fluently; and speak bizarre languages no one else can deal with."
Precise Shot,General,Adventurer,A: Ranged attacks won’t hit engaged allies.
Rapid Reload,General,Adventurer,A: Quick action to reload heavy crossbow; free action to reload light or hand crossbow.
Reach Tricks,General,Adventurer,"A: Once per battle, use a reach weapon in a special way."
Ritual Casting,General,Adventurer,A: Cast spells you know as rituals.
Skill Escalation,General,Adventurer,A: Add the escalation die to your skill checks after seeing roll; 2/day.
Strong Recovery,General,Adventurer,"A: Reroll one die when rolling recovery dice. At 5th level, reroll 2 dice. At 8th level, reroll three dice."
Toughness,General,Adventurer,A: Gain bonus hp equal to half your class baseline hp; improves at 5th and 8th level.
Cruel,Dark Elf,Champion,"C: Once per day, use cruel to deal 5 ongoing damage per level against a target you miss or you roll a natural odd attack roll against (even a 1)."
Breath Weapon,Dragonic,Champion,C: Breath weapon now targets 1d3 enemies in a nearby group.
That’s Your Best Shot?,Dwarf,Champion,"C: If escalation die is 2+, the best shot recovery is free."
Heritage of the Sword,Elf,Adventurer,"A: Use d6 and d8 swords without penalties; or if already able to use such swords without penalties, +2 melee damage."
Confounding,Gnome,Champion,C: Target of confounding is weakened instead of dazed.
Surprising,Half-Elf,Champion,"C: Use surprising an extra time, but only to change a nearby ally’s d20 roll."
Evasive,Halfling,Champion,C: The foe’s reroll when you use evasive takes a –5 penalty.
Lethal,Half-Orc,Champion,"C: If lethal attack reroll is 16+, use lethal again that battle."
Highblood Teleport,High Elf,Champion,"C: When you teleport, deal damage equal to twice your level to engaged enemy."
Halo,Holy One,Champion,C: Halo now activates whenever you heal using a recovery.
Quick to Fight,Human,Champion,C: Increase escalation die by +1 when you roll natural 19 or 20 for initiative.
Never Say Die,Forgeborn,Champion,"C: When you roll 16+ on your never say die save, take an extra standard action next turn."
Curse of Chaos,Tiefling,Champion,C: Use curse of chaos for free when a nearby enemy gets a natural 1 attack roll.
Elven Grace,Wood Elf,Champion,C: Start your elven grace rolls with a d4 instead of a d6.
Barbarian Rage,Barbarian,Adventurer,"A: When esc die is 4+, start raging for free as a quick action."
Barbarian Rage,Barbarian,Champion,C: Now start raging for free when esc. die is 3+.
Barbarian Rage,Barbarian,Epic,E: Now start raging for free when esc. die is 2+.
Anc.Warband,Barbarian,Epic,E: The warband fights for 1 round even after you are unconscious.
Barbaric Cleave,Barbarian,Adventurer,"A: Gain +2 bonus to Barbaric Cleave attacks, and on a hit with Barbaric Cleave, you can heal using a recovery."
Barbaric Cleave,Barbarian,Champion,C: You can move for free before using a Barbaric Cleave attack.
Barbaric Cleave,Barbarian,Epic,E: Use Barbaric Cleave as often as you want in one battle.
Building Frenzy,Barbarian,Adventurer,A: The bonus damage dice are now d6s instead of d4s.
Building Frenzy,Barbarian,Champion,C: The bonus damage dice are now d10s instead of d6s.
Building Frenzy,Barbarian,Epic,E: Use Building Frenzy twice per day now.
Natural Will,Barbarian,Adventurer,A: Use Natural Will twice per day now.
Natural Will,Barbarian,Champion,C: Bonus increases to +4 MD.
Natural Will,Barbarian,Epic,"E: Use Natural Will as a free action, even as a reaction to an attack."
Relentless,Barbarian,Epic,E: Gain resist damage 12+ until next turn after you crit.
Slayer,Barbarian,Adventurer,A: Gain +2 bonus to Slayer attacks.
Slayer,Barbarian,Champion,"C: Once per battle, deal Slayer damage on a miss."
Slayer,Barbarian,Epic,E: Gain 20 temp hp when your Slayer attack drops a non-mook enemy.
Strongheart,Barbarian,Adventurer,A: Increase your maximum recoveries by 1.
Strongheart,Barbarian,Champion,"C: You gain +1 PD and when you heal using a recovery, you can roll a save."
Strongheart,Barbarian,Epic,E: Increase your maximum recoveries by 1 (2 total).
